TIPO;COD_CP;COD_UBIGEO;POBLACION;VIVIENDA;IE;ES;NIVEL_RIESGO;NIVEL_RIESGO_AGRICOLA;NIVEL_RIESGO_PECUARIO;CANTIDAD_CP;NIVEL_SUSCEPTIBILIDAD;NIVEL_EXPOSICION_1(mm);NIVEL_EXPOSICION_2(inu);NIVEL_EXPOSICION_3(bt);ALUMNOS;DOCENTES;VIAS;SUPERFICIE_AGRICOLA;POB_5;POB_60;POB_URB;POB_RURAL;VIV_TIPO1;VIV_TIPO2;VIV_TIPO3;VIV_TIPO4;VIV_TIPO5;HOGARES;SA_RIEGO;SA_SECANO;PROD_AGROPECUARIOS;POD_AGROPECUARIOS_65;SUPERFICIE_DE_PASTOS;ALPACAS;OVINOS;VACUNOS;AREAS_NATURALES;NIVEL_SEQUIA
AM_MM;;X;X;X;X;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INU_CP;X;;X;X;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
INU_IE;;X;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
INU_ES;;X;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
TRI_LLUVIAS_CP;X;;X;X;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
TRI_LLUVIAS_ES;;X;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
TRI_LLUVIAS_IE;;X;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
CLI_INU;;X;X;X;X;X;X;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;
CLI_MM;;X;X;X;X;X;X;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;
AM_DT;;X;X;X;;;X;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;
AM_FRIAJE;;X;X;X;;;X;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;
TRI_DT_CP;X;;X;X;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
TRI_DT_IE;;X;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
TRI_DT_ES;;X;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
CLI_HEL;;X;X;X;;;;X;;;;;;;;;;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;;
CLI_FRIAJE;;X;X;X;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;
CLI_HEL_DEP;;X;X;X;X;X;X;;;;;;;;;;;X;X;X;;;;;;;;;;;;;;;;;;
CLI_FRIAJE_DEP;;X;X;X;X;X;X;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;
IF_NAC_CP;X;;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IF_NAC_ES;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IF_NAC_IE;;X;;;;;X;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;
IF_NAC_SAGRIC;;X;;;;;X;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;
IF_NAC_SARQ;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IF_DEP_CP;;X;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IF_DEP_ES;;X;;;;;X;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;
IF_DEP_IE;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IF_DEP_VIA;;X;;;;;X;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;
CLI_SEQ;;X;X;X;;;X;;;;;;;;;;;X;X;X;;;;;;;;;X;X;;;X;X;X;X;X;X
VOLCAN_LAHAR;X;X;X;X;X;X;X;;;;X;;;;;;;X;;;;;;;;;;;;;;;;;;;;
VOLCAN_CENIZA;X;X;X;X;X;X;X;;;;X;;;;;;;X;;;;;;;;;;;;;;;;;;;;
