id,distrito_id,codigo,nombre,created_at,updated_at
42001,726,0101090156,CHONTA,,
42002,1727,0101060039,MOJON,,
42003,726,0101090107,ISHPINGO PAMPA,,
42004,726,0101090157,CHAMANA,,
42005,1016,0101010008,LETICIA,,
42006,726,0101090158,SIOGUE,,
42007,726,0101090159,PAUSHINGACHE,,
42008,726,0101090160,POCÑON,,
42009,1339,0102020089,EL LAUREL,,
42010,1358,0103010023,GALERA,,
42011,66,0103040027,USHUM,,
42012,1318,0103060010,CUCHQUIYACO,,
42013,1202,0103070059,NUEVA COLOMBIA,,
42014,1016,0101010009,EL CRUCE,,
42015,16,0103120011,EL TRIUNFO,,
42016,1016,0101010010,ACHAMAQUI,,
42017,726,0101090161,SHIPASHYACO,,
42018,726,0101090162,CALLCA,,
42019,1373,0105030027,NEVORAN,,
42020,726,0101090163,BUENOS AIRES,,
42021,726,0101090169,CHALAJSHIN,,
42022,726,0101090170,JUBIT,,
42023,794,0105140012,ESTANQUE,,
42024,794,0105140062,TAQUEPIQUE,,
42025,791,0105150006,SAN ANTONIO,,
42026,1374,0105210011,MINAS,,
42027,90,0106010015,PIRHURO (PIRRURO),,
42028,1333,0101190105,TILACANCHA,,
42029,726,0101090171,CONGONA,,
42030,30,0106110006,MORRERO,,
42031,433,0201040077,CHAMLLA,,
42032,1016,0101010012,EL MOLINO,,
42033,1016,0101010013,EL ALFALFAR,,
42034,433,0201040083,TUMAC,,
42035,1009,0107050053,NUEVO IMPERIO,,
42036,299,0201010017,CHUNA MARA,,
42037,299,0201010104,CONCHIPATA,,
42038,299,0201010121,TZUNTA RURI,,
42039,1016,0101010019,SANTA CRUZ,,
42040,1016,0101010020,MARIPATA,,
42041,957,0201020058,KOMI,,
42042,1016,0101010023,OPELEL,,
42043,433,0201040030,ASCAP,,
42044,433,0201040085,ARRIERO PATZANAN,,
42045,433,0201040120,TUCTUPAMPA,,
42046,172,0201070046,HUANTAR,,
42047,1358,0103010014,RAHUAPAMPA,,
42048,56,0201080010,CARMEN ALTO,,
42049,56,0201080024,ARAPA,,
42050,1016,0101010024,TAQUIA,,
42051,1016,0101010026,JUPIA,,
42052,1016,0101010027,PENCAPAMPA,,
42053,720,0201110002,HUAMANCALLA,,
42054,1016,0101010028,LUCMAURCO,,
42055,1016,0101010030,HIDALGO,,
42056,1718,0202010048,PUCAJIRCA,,
42057,1016,0101010031,SAN ANTONIO,,
42058,1016,0101010034,SILVA URCCO,,
42059,1720,0202020026,PURCUCANCHA,,
42060,1720,0202020048,PUQUIO URAN,,
42061,1016,0101010035,SAN ISIDRO,,
42062,1373,0105030059,LOS ALISOS,,
42063,260,0202040078,WAKACANCHA,,
42064,413,0203010057,HUANTU,,
42065,910,0203030014,GARAQUIJIRCA,,
42066,403,0203050028,JATUPAMPA,,
42067,1373,0105030061,TUNASPATA,,
42068,925,0205010095,HUANTURMA,,
42069,440,0205030011,HUINMA,,
42070,937,0205040083,WISAPATA,,
42071,509,0205050030,POQUIPAMPA,,
42072,509,0205050060,MOLINO,,
42073,1043,0205070039,COYARCACA,,
42074,1328,0105120020,TEJALLPA,,
42075,1016,0101010036,CHAUPIACO,,
42076,45,0205080081,LLAMA CORAL,,
42077,45,0205080097,WISHCA,,
42078,1328,0105120043,DUENDEYACO,,
42079,45,0205080184,BALA GRANDE,,
42080,1074,0205090077,ESCORCONERO,,
42081,1074,0205090107,MILU,,
42082,1739,0205150008,CURCUY,,
42083,1016,0101010037,OPELEL YUNGUILLA,,
42084,688,0206040004,CASHACORRAL,,
42085,1328,0105120044,ARAHUISHCA,,
42086,1016,0101010038,SAN FRANCISCO,,
42087,566,0206110021,KEYAC,,
42088,566,0206110043,ZANJA PAMPA,,
