id,codigo,nombre,latitud,longitud,created_at,updated_at
1,1,AMAZONAS,-5.30976,-77.98095,2025-10-27 19:17:29,2025-10-27 19:17:29
2,2,ANCASH,-9.14548,-77.5415,2025-10-27 19:17:29,2025-10-27 19:17:29
3,3,APURIMAC,-13.85941,-72.8833,2025-10-27 19:17:29,2025-10-27 19:17:29
4,4,AREQUIPA,-15.47485,-72.04833,2025-10-27 19:17:29,2025-10-27 19:17:29
5,5,AYACUCHO,-14.45595,-73.91601,2025-10-27 19:17:29,2025-10-27 19:17:29
6,6,CAJAMARCA,-6.48998,-78.59619,2025-10-27 19:17:29,2025-10-27 19:17:29
7,7,CALLAO,-11.91841,-77.10342,2025-10-27 19:17:29,2025-10-27 19:17:29
8,8,CUSCO,-13.04737,-71.74072,2025-10-27 19:17:29,2025-10-27 19:17:29
9,9,HUANCAVELICA,-12.66177,-74.81689,2025-10-27 19:17:29,2025-10-27 19:17:29
10,10,HUANUCO,-9.16717,-76.06933,2025-10-27 19:17:29,2025-10-27 19:17:29
11,11,ICA,-14.04316,-75.25852,2025-10-27 19:17:29,2025-10-27 19:17:29
12,12,JUNIN,-11.35079,-74.50927,2025-10-27 19:17:30,2025-10-27 19:17:30
13,13,LA LIBERTAD,-7.84161,-78.53027,2025-10-27 19:17:30,2025-10-27 19:17:30
14,14,LAMBAYEQUE,-6.27161,-79.71679,2025-10-27 19:17:30,2025-10-27 19:17:30
15,15,LIMA,-11.95334,-76.28906,2025-10-27 19:17:30,2025-10-27 19:17:30
16,16,LORETO,-4.63117,-73.95996,2025-10-27 19:17:30,2025-10-27 19:17:30
17,17,MADRE DE DIOS,-11.67375,-70.3125,2025-10-27 19:17:30,2025-10-27 19:17:30
18,18,MOQUEGUA,-16.61513,-70.62011,2025-10-27 19:17:30,2025-10-27 19:17:30
19,19,PASCO,-10.25005,-74.9707,2025-10-27 19:17:30,2025-10-27 19:17:30
20,20,PIURA,-4.89394,-80.13427,2025-10-27 19:17:30,2025-10-27 19:17:30
21,21,PUNO,-14.6261,-69.8291,2025-10-27 19:17:30,2025-10-27 19:17:30
22,22,SAN MARTIN,-7.53983,-76.54177,2025-10-27 19:17:30,2025-10-27 19:17:30
23,23,TACNA,-17.35063,-70.11474,2025-10-27 19:17:30,2025-10-27 19:17:30
24,24,TUMBES,-3.83959,-80.56274,2025-10-27 19:17:30,2025-10-27 19:17:30
25,25,UCAYALI,-9.55741,-73.2788,2025-10-27 19:17:30,2025-10-27 19:17:30
