id,provincia_id,codigo,nombre,capital,created_at,updated_at
1,148,100902,CODO DEL POZUZO,CODO DEL POZUZO,2025-10-27 19:17:35,2025-10-27 19:17:35
2,148,100904,TOURNAVISTA,TOURNAVISTA,2025-10-27 19:17:35,2025-10-27 19:17:35
3,169,120606,PANGOA,SAN MARTIN DE PANGOA,2025-10-27 19:17:35,2025-10-27 19:17:35
4,169,120604,MAZAMARI,MAZAMARI,2025-10-27 19:17:35,2025-10-27 19:17:35
5,181,221006,SANTA LUCIA,SANTA LUCIA,2025-10-27 19:17:35,2025-10-27 19:17:35
6,174,230104,CIUDAD NUEVA,CIUDAD NUEVA,2025-10-27 19:17:35,2025-10-27 19:17:35
7,7,030218,TURPO,TURPO,2025-10-27 19:17:35,2025-10-27 19:17:35
8,101,230303,ITE,ITE,2025-10-27 19:17:35,2025-10-27 19:17:35
9,19,010205,IMAZA,CHIRIACO,2025-10-27 19:17:35,2025-10-27 19:17:35
10,2,090204,CAJA,CAJA,2025-10-27 19:17:35,2025-10-27 19:17:35
11,8,090309,JULCAMARCA,JULCAMARCA,2025-10-27 19:17:36,2025-10-27 19:17:36
12,135,250307,BOQUERON,BOQUERON,2025-10-27 19:17:36,2025-10-27 19:17:36
13,43,040504,CALLALLI,CALLALLI,2025-10-27 19:17:36,2025-10-27 19:17:36
14,130,190306,PUERTO BERMUDEZ,PUERTO BERMUDEZ,2025-10-27 19:17:36,2025-10-27 19:17:36
15,75,030714,CURASCO,CURASCO,2025-10-27 19:17:36,2025-10-27 19:17:36
16,24,010312,YAMBRASBAMBA,YAMBRASBAMBA,2025-10-27 19:17:36,2025-10-27 19:17:36
17,141,190111,TINYAHUARCO,TINYAHUARCO (SMELTER),2025-10-27 19:17:36,2025-10-27 19:17:36
18,159,060904,LA COIPA,LA COIPA,2025-10-27 19:17:36,2025-10-27 19:17:36
19,57,040607,SALAMANCA,SALAMANCA,2025-10-27 19:17:36,2025-10-27 19:17:36
20,115,010505,CONILA,COHECHAN,2025-10-27 19:17:36,2025-10-27 19:17:36
21,185,081301,URUBAMBA,URUBAMBA,2025-10-27 19:17:36,2025-10-27 19:17:36
22,135,250306,HUIPOCA,HUIPOCA,2025-10-27 19:17:36,2025-10-27 19:17:36
23,115,010501,LAMUD,LAMUD,2025-10-27 19:17:36,2025-10-27 19:17:36
24,64,080108,WANCHAQ,WANCHAQ,2025-10-27 19:17:36,2025-10-27 19:17:36
25,26,060202,CACHACHI,CACHACHI,2025-10-27 19:17:36,2025-10-27 19:17:36
26,16,200210,SUYO,SUYO,2025-10-27 19:17:36,2025-10-27 19:17:36
27,106,040806,PUYCA,PUYCA,2025-10-27 19:17:36,2025-10-27 19:17:36
28,170,200802,BELLAVISTA DE LA UNION,BELLAVISTA,2025-10-27 19:17:36,2025-10-27 19:17:36
29,3,080202,ACOPIA,ACOPIA,2025-10-27 19:17:36,2025-10-27 19:17:36
30,156,010611,TOTORA,TOTORA,2025-10-27 19:17:36,2025-10-27 19:17:36
31,52,210407,ZEPITA,ZEPITA,2025-10-27 19:17:36,2025-10-27 19:17:36
32,23,020506,CANIS,CANIS,2025-10-27 19:17:36,2025-10-27 19:17:36
33,24,010311,VALERA,VALERA (SAN PABLO),2025-10-27 19:17:36,2025-10-27 19:17:36
34,43,040511,LLUTA,LLUTA,2025-10-27 19:17:36,2025-10-27 19:17:36
